epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,8150.64,1.22606,0.60668,1.22621,0.5879,0.74651,0.69468,0.4161,1.41391,0.74314,1.19585,3.13145e-05,3.13145e-05,3.13145e-05
147,8194.15,1.21519,0.60342,1.21503,0.60266,0.73463,0.70503,0.41905,1.4132,0.74842,1.19719,2.85847e-05,2.85847e-05,2.85847e-05
148,8237.72,1.22464,0.60675,1.2229,0.60183,0.74217,0.69867,0.41598,1.40976,0.74953,1.19618,2.60384e-05,2.60384e-05,2.60384e-05
149,8281.28,1.21331,0.60289,1.22599,0.59455,0.74666,0.69018,0.41086,1.40503,0.75405,1.19225,2.36769e-05,2.36769e-05,2.36769e-05
150,8325,1.2201,0.59859,1.23017,0.60119,0.74301,0.68805,0.41147,1.40717,0.75245,1.19606,2.15009e-05,2.15009e-05,2.15009e-05
151,8368.52,1.21681,0.59757,1.2266,0.59653,0.74129,0.69339,0.4158,1.40882,0.74518,1.19584,1.95113e-05,1.95113e-05,1.95113e-05
152,8412.25,1.21811,0.6058,1.22378,0.62515,0.72912,0.70216,0.41643,1.40747,0.74964,1.19793,1.77088e-05,1.77088e-05,1.77088e-05
153,8455.87,1.22652,0.59632,1.23308,0.58893,0.74217,0.69477,0.41265,1.40951,0.75274,1.1966,1.60943e-05,1.60943e-05,1.60943e-05
154,8499.68,1.22829,0.60496,1.21731,0.61392,0.73028,0.69352,0.41558,1.40813,0.74973,1.19454,1.46682e-05,1.46682e-05,1.46682e-05
155,8543.35,1.21849,0.59667,1.22194,0.60798,0.73028,0.69631,0.41756,1.4057,0.74714,1.19218,1.34311e-05,1.34311e-05,1.34311e-05
156,8587.02,1.21347,0.59906,1.21934,0.60065,0.73836,0.69333,0.41549,1.40335,0.74143,1.19003,1.23836e-05,1.23836e-05,1.23836e-05
157,8630.73,1.2173,0.59886,1.20991,0.6043,0.73028,0.69539,0.41808,1.40553,0.74453,1.19214,1.15259e-05,1.15259e-05,1.15259e-05
158,8674.53,1.21028,0.59658,1.22551,0.59971,0.73533,0.70282,0.41896,1.40532,0.74691,1.19387,1.08585e-05,1.08585e-05,1.08585e-05
159,8718.47,1.20694,0.59777,1.22638,0.58925,0.73782,0.69583,0.41205,1.40284,0.74821,1.19149,1.03816e-05,1.03816e-05,1.03816e-05
160,8771.87,1.21326,0.59997,1.22046,0.58219,0.73782,0.69439,0.41546,1.40214,0.75623,1.19031,1.00954e-05,1.00954e-05,1.00954e-05
